Cant_Comp		Comp_Res		Frec_Comp		Lug_Comp		Unid_Comp		Estrato
2	,	SI	,	Mensual	,	Brasil	,	Kg	,	2
	,	NO	,		,		,		,	3
2	,	SI	,	Mensual	,	Brasil	,	Kg	,	3
3	,	SI	,	Mensual	,	Brasil	,	Kg	,	3
2	,	SI	,	Mensual	,	Brasil	,	Kg	,	3
2	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
1	,	SI	,	Semanal	,	Supermercado	,	Kg	,	2
	,	NO	,		,		,		,	2
1	,	SI	,	Quincenal	,	Supermercado	,	Kg	,	3
1	,	SI	,	Quincenal	,	Plaza_Mercado	,	Kg	,	3
1	,	SI	,	Semanal	,	Supermercado	,	Kg	,	3
0.5	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	2
2	,	SI	,	Quincenal	,	Supermercado	,	Kg	,	2
1	,	SI	,	Quincenal	,	Supermercado	,	Kg	,	3
3	,	SI	,	Semanal	,	Supermercado	,	Kg	,	3
	,	NO	,		,		,		,	3
2	,	SI	,	Semanal	,	Supermercado	,	Kg	,	3
	,	NO	,		,		,		,	2
2	,	SI	,	Mensual	,	Tienda_Barrio	,	Kg	,	2
1	,	SI	,	Diario	,	Supermercado	,	Kg	,	3
0.5	,	SI	,	Semanal	,	Supermercado	,	Kg	,	2
1	,	SI	,	Semanal	,	Supermercado	,	Kg	,	2
	,	NO	,		,		,		,	1
2	,	SI	,	Diario	,	Brasil	,	Kg	,	1
	,	NO	,		,		,		,	1
2	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	1
1	,	SI	,	Semanal	,	Supermercado	,	Kg	,	1
2	,	SI	,	Semanal	,	Supermercado	,	Kg	,	2
1	,	SI	,	Quincenal	,	Plaza_Mercado	,	Kg	,	1
1	,	SI	,	Semanal	,	Supermercado	,	Kg	,	2
1	,	SI	,	Quincenal	,	Tienda_Barrio	,	Kg	,	2
2	,	SI	,	Quincenal	,	Plaza_Mercado	,	Kg	,	1
0.5	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	1
1	,	SI	,	Semanal	,	Tienda_Barrio	,	Kg	,	1
3	,	SI	,	Mensual	,	Plaza_Mercado	,	Kg	,	1
2	,	SI	,	Quincenal	,	Brasil	,	Kg	,	1
2	,	SI	,	Mensual	,	Plaza_Mercado	,	Kg	,	3
2	,	SI	,	Quincenal	,	Supermercado	,	Kg	,	2
0.25	,	SI	,	Semanal	,	Plaza_Mercado	,	Kg	,	1
1	,	SI	,	Semanal	,	Supermercado	,	Kg	,	1
1	,	SI	,	Quincenal	,	Plaza_Mercado	,	kg	,	2
1	,	SI	,	Quincenal	,	Plaza_Mercado	,	kg	,	3
1	,	SI	,	Semanal	,	Supermercado	,	Kg	,	2
3	,	SI	,	Semanal	,	Supermercado	,	Kg	,	2
	,	NO	,		,		,		,	1
3	,	SI	,	Quincenal	,	Brasil	,	kg	,	2
1	,	SI	,	Quincenal	,	Plaza_Mercado	,	kg	,	2
3	,	SI	,	Semanal	,	Supermercado	,	kg	,	1
1	,	SI	,	Quincenal	,	Supermercado	,	kg	,	1
2	,	SI	,	Semanal	,	Plaza_Mercado	,	kg	,	2
1	,	SI	,	Mensual	,	Supermercado	,	kg	,	3
0.5	,	SI	,	Mensual	,	Supermercado	,	kg	,	1
1.5	,	SI	,	Semanal	,	Plaza_Mercado	,	kg	,	1
0.5	,	SI	,	Semanal	,	Plaza_Mercado	,	kg	,	1
0.25	,	SI	,	Semanal	,	Plaza_Mercado	,	kg	,	2
4	,	SI	,	Mensual	,	Brasil	,	kg	,	2
1	,	SI	,	Semanal	,	Plaza_Mercado	,	kg	,	2
2	,	SI	,	Mensual	,	Tienda_Barrio	,	kg	,	2
	,	NO	,		,		,		,	2
	,	NO	,		,		,		,	1
0.4	,	SI	,	Semanal	,	Brasil	,	Kg	,	1
1	,	SI	,	Quincenal	,	Plaza_Mercado	,	kg	,	2
3	,	SI	,	Quincenal	,	Plaza_Mercado	,	kg	,	2
2	,	SI	,	Diario	,	Supermercado	,	kg	,	2
3	,	SI	,	Mensual	,	Supermercado	,	kg	,	2
0.5	,	SI	,	Semanal	,	Plaza_Mercado	,	kg	,	1
3	,	SI	,	Semanal	,	Plaza_Mercado	,	kg	,	2
4	,	SI	,	Semanal	,	Plaza_Mercado	,	kg	,	3
1	,	SI	,	Mensual	,	Brasil	,	kg	,	2
	,	NO	,		,		,		,	3
1	,	SI	,	Quincenal	,	Supermercado	,	kg	,	1
3	,	SI	,	Mensual	,	Brasil	,	kg	,	2
1	,	SI	,	Quincenal	,	Supermercado	,	kg	,	3
1	,	SI	,	Semanal	,	Supermercado	,	kg	,	3
	,	NO	,		,		,		,	2
